,location,isp,speed,images
0,Nyamirambo ,"['Mango', 'telecom']",4.7 mbps,['http://pbs.twimg.com/media/EU1QH7iX0AAi4bN.jpg']
1,,['@airtelrw'],,['http://pbs.twimg.com/media/EU1FpbZWAAA8g6M.jpg']
2,Kimironko,[],2.5 Mbps,['http://pbs.twimg.com/media/EU1Dup5WkAAXRpk.jpg']
3,Kanombe,[],7.9 Mbps,['http://pbs.twimg.com/media/EU0pEjWXYAQsPF_.jpg']
4,,['MTN(3G)'],,['http://pbs.twimg.com/media/EU0KDBDWoAAeGYV.jpg']
5,Muhanga,['Mango'],,['http://pbs.twimg.com/media/EU0DbsYWAAAZEiv.jpg']
6,,"['Axiom', 'Networks']",,['http://pbs.twimg.com/media/EUz1tgPXsAAwL5w.jpg']
7,Sonatube,,3 Mbps,['http://pbs.twimg.com/media/EUzvGqNXsAUI_o9.jpg']
8,,,,['http://pbs.twimg.com/media/EUzSz9YXYAMs8SW.jpg']
9,,['MTN'],1.2 Mbps ,['http://pbs.twimg.com/media/EUxfgDvWkAAwKLc.jpg']
10,Karuruma,['@FastnetISP_RW'],,['http://pbs.twimg.com/media/EUxKnstWsAAqOK9.jpg']
11,kiyovu ISP: MTN https://t.co/J2uVI5muur,['MTN'],,['http://pbs.twimg.com/media/EUxG4xOWkAAJtfc.jpg']
12,Karuruma,"['MTN', '(4G)']",,['http://pbs.twimg.com/media/EUxEyzVXgAADhSr.jpg']
13,Rubavu.                                       ISP: tnsp                                                         Network:4g https://t.co/dSTSnQ8Tg1,"['tnsp', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', 'Network:4g']",,['http://pbs.twimg.com/media/EUxAYmDXgAA33xl.jpg']
14,Kicukiro ,,3.2Mbps,['http://pbs.twimg.com/media/EUw_rw_XkAEUIKQ.jpg']
15,,,,['http://pbs.twimg.com/media/EUw4GSNWkAEBRp_.jpg']
16,Kacyiru ,"['Axiom', 'networks']",41 Mbps,['http://pbs.twimg.com/media/EUw2VerX0AAXUem.png']
17,Busanza,['Axiom'],9.3 Mbps,['http://pbs.twimg.com/media/EUw1fKUXgAE3Ddz.jpg']
