location,isp,speed,images,text,time_tweet,place,location_cleaned,network_type,isp_cleaned,speed_cleaned,speed_unit
REBERO,"['Liquid', 'Telecom']",8.4 mbps,['http://pbs.twimg.com/media/EU6x9RBXsAI2TU1.jpg'],"@kenessajr Location: REBERO
Speed: 8.4 Mbps
ISP:Liquid Telecom https://t.co/o4ZQqgQL7Z",2020-04-06 11:52:09,,rebero,,liquid,8.4, mbps
Kimironko ,['MTN'],12 mbps,['http://pbs.twimg.com/media/EU4-IsoWAAkb-MG.jpg'],"@kenessajr Location:Kimironko 
Speed:12 Mbps
Isp: MTN https://t.co/zotT0eZujQ",2020-04-06 03:25:33,,kimironko,,mtn,12.0, mbps
,,,['http://pbs.twimg.com/media/EU2IDFhXQAEpJZq.jpg'],"@kenessajr Mtn: 10,000 Rwf 
Per month: 30Gbs 
Kanombe, Nyarugunga https://t.co/9aB7eiPpre",2020-04-05 14:11:21,,,,,,
Kanombe,"['@ktRwanda', '4G']",180 kbps,['http://pbs.twimg.com/media/EU2CsrLXgAIvfrU.jpg'],"@kenessajr Location: Kanombe
Speed: 180 Kbps
ISP: @ktRwanda 4G https://t.co/rexT913Dal",2020-04-05 13:46:38,,kanombe,4G,kt,0.18, kbps
Kanombe,,,['http://pbs.twimg.com/media/EU2CncjX0AAgBqw.jpg'],"@kenessajr Location: Kanombe
Speed : 530 Kbps
ISP : @MTNRwanda https://t.co/9ri0MVDD9h",2020-04-05 13:46:16,,kanombe,,,,
Nyamirambo ,"['Mango', 'telecom']",4.7 mbps,['http://pbs.twimg.com/media/EU1QH7iX0AAi4bN.jpg'],"@kenessajr Location: Nyamirambo 
Speed: 4.7 mbps
Isp: Mango telecom https://t.co/7UZEfiNcXt",2020-04-05 10:05:41,,nyamirambo,,mango,4.7, mbps
,['@airtelrw'],,['http://pbs.twimg.com/media/EU1FpbZWAAA8g6M.jpg'],"@kenessajr Location : Remera
Speed : 2.2 Mbps
ISP: @airtelrw https://t.co/Yg1TllQ4ve",2020-04-05 09:19:51,,,,airtel,,
Kimironko,[],2.5 mbps,['http://pbs.twimg.com/media/EU1Dup5WkAAXRpk.jpg'],"@kenessajr Location: Kimironko
Speed: 2.5 Mbps
ISP: @airtelrw

#MyInternetSpeedRw https://t.co/LM0C4prcKi",2020-04-05 09:11:29,,kimironko,,,2.5, mbps
Kanombe,[],7.9 mbps,['http://pbs.twimg.com/media/EU0pEjWXYAQsPF_.jpg'],"@kenessajr Location: Kanombe
Speed: 7.9 Mbps
ISP: Airtel

#MyInternetSpeedRw https://t.co/tzcUdOuaqO",2020-04-05 07:15:02,,kanombe,,,7.9, mbps
,['MTN(3G)'],,['http://pbs.twimg.com/media/EU0KDBDWoAAeGYV.jpg'],"@kenessajr Remera
ISP:MTN(3G) https://t.co/vzCMVPiObR",2020-04-05 04:59:30,,,3G,mtn,,
Muhanga,['Mango'],,['http://pbs.twimg.com/media/EU0DbsYWAAAZEiv.jpg'],"@kenessajr Location: Muhanga
ISP: Mango https://t.co/N9MMZtSjUF",2020-04-05 04:30:36,,muhanga,,mango,,
,"['Axiom', 'Networks']",,['http://pbs.twimg.com/media/EUz1tgPXsAAwL5w.jpg'],"@kenessajr Location : Gisozi
ISP: Axiom Networks https://t.co/We8350ns8F",2020-04-05 03:30:39,,,,axiom,,
Sonatube,,3 mbps,['http://pbs.twimg.com/media/EUzvGqNXsAUI_o9.jpg'],"@kenessajr Location: Sonatube
Int speed: 3 Mbps
Provider: MTN https://t.co/5o8uM7Doj0",2020-04-05 03:01:46,,sonatube,,,3.0, mbps
,,,['http://pbs.twimg.com/media/EUzSz9YXYAMs8SW.jpg'],"@kenessajr Nyamirambo
Airtel / 3G https://t.co/ALEhPBTzpL",2020-04-05 00:58:10,,,,,,
,['MTN'],1.2 mbps,['http://pbs.twimg.com/media/EUxfgDvWkAAwKLc.jpg'],"@kenessajr Kimironko kwa Mushimire 
Speed: 1.2 Mbps 
ISP: MTN https://t.co/alC9CLxOVQ",2020-04-04 16:34:22,,,,mtn,1.2, mbps
Karuruma,['@FastnetISP_RW'],,['http://pbs.twimg.com/media/EUxKnstWsAAqOK9.jpg'],"@kenessajr Location: Karuruma
ISP: @FastnetISP_RW https://t.co/nMSFHtUMSJ",2020-04-04 15:03:07,,karuruma,,fastnet,,
kiyovu ISP: MTN https://t.co/J2uVI5muur,['MTN'],,['http://pbs.twimg.com/media/EUxG4xOWkAAJtfc.jpg'],@kenessajr Location:kiyovu ISP: MTN https://t.co/J2uVI5muur,2020-04-04 14:46:49,,kiyovu,,mtn,,
Karuruma,"['MTN', '(4G)']",,['http://pbs.twimg.com/media/EUxEyzVXgAADhSr.jpg'],"@kenessajr Location: Karuruma
ISP: MTN (4G) https://t.co/icnNCSWOT9",2020-04-04 14:37:43,,karuruma,4G,mtn,,
Rubavu.                                       ISP: tnsp                                                         Network:4g https://t.co/dSTSnQ8Tg1,"['tnsp', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', 'Network:4g']",,['http://pbs.twimg.com/media/EUxAYmDXgAA33xl.jpg'],@kenessajr Location: Rubavu.                                       ISP: tnsp                                                         Network:4g https://t.co/dSTSnQ8Tg1,2020-04-04 14:18:35,,rubavu.,4g,tnsp,,
Kicukiro ,,3.2mbps,['http://pbs.twimg.com/media/EUw_rw_XkAEUIKQ.jpg'],"@kenessajr Location: Kicukiro 
Speed: 3.2Mbps
ISP : MTN 4G https://t.co/tnSJIf9FQe",2020-04-04 14:15:21,,kicukiro,,,3.2,mbps
,,,['http://pbs.twimg.com/media/EUw4GSNWkAEBRp_.jpg'],@kenessajr does the twitter api have the functionality to fetch someone’s tweet with all its thread replies? too much data to collected and it could be parsed to provide some good analysis,2020-04-04 13:58:04,,,,,,
Kacyiru ,"['Axiom', 'networks']",41 mbps,['http://pbs.twimg.com/media/EUw2VerX0AAXUem.png'],"@kenessajr Location: Kacyiru 
Speed: 41 Mbps
Isp: Axiom networks https://t.co/EJZqej1UVG",2020-04-04 13:42:12,,kacyiru,,axiom,41.0, mbps
Busanza,['Axiom'],9.3 mbps,['http://pbs.twimg.com/media/EUw1fKUXgAE3Ddz.jpg'],"@kenessajr Location: Busanza
Speed: 9.3 Mbps
ISP: Axiom https://t.co/8WVy0dmH8G",2020-04-04 13:34:33,,busanza,,axiom,9.3, mbps
Kacyiru,['Axiom'],,['http://pbs.twimg.com/media/EUw0W4vXYAAztzc.png'],"@kenessajr #MyInternetSpeedRw 
Location: Kacyiru
ISP: Axiom Networks
Subscription:10Mbps

@irastide https://t.co/8PhGMqPJNf",2020-04-04 13:30:46,,kacyiru,,axiom,,
,,,['http://pbs.twimg.com/media/EUwzeqgXsAEMrVX.jpg'],"@kenessajr Location; Kanombe 
Speed; 8.8 Mbps
ISP; Axiom Networks https://t.co/rUDkjcb95O",2020-04-04 13:26:19,,,,,,
"Ruhuha, Bugesera",,,['http://pbs.twimg.com/media/EUwv74dWoAIlYHx.jpg'],"@kenessajr Location: Ruhuha, Bugesera
Provider: MTN 3G https://t.co/BXvCH44lXF",2020-04-04 13:22:02,,ruhuha,,,,
kanombe,['Airtel'],,['http://pbs.twimg.com/media/EUwvWc2X0AAa2Q4.png'],"@kenessajr Location:kanombe
ISP: Airtel https://t.co/PF6OntsanY",2020-04-04 13:06:31,,kanombe,,airtel,,
Kibagabaga,"['Airtel', '(4G)']",600 kbps,['http://pbs.twimg.com/media/EUwvTF4WkAIdsA9.jpg'],"@kenessajr Location: Kibagabaga
Speed: 600 Kbps
ISP: Airtel (4G) https://t.co/x3Kr4bTjgt",2020-04-04 13:04:05,,kibagabaga,4G,airtel,0.6, kbps
,,,['http://pbs.twimg.com/media/EUwsRsjWsAEg05C.jpg'],@kenessajr 😥 https://t.co/U12Qm7Fkiy,2020-04-04 13:03:46,"Place(_api=<tweepy.api.API object at 0x1122451d0>, id='84f644e036f3dcb0', url='https://api.twitter.com/1.1/geo/id/84f644e036f3dcb0.json', place_type='country', name='Rwanda', full_name='Rwanda', country_code='RW', country='Rwanda', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x1122451d0>, type='Polygon', coordinates=[[[28.8617568, -2.8387274], [30.8993559, -2.8387274], [30.8993559, -1.0474785], [28.8617568, -1.0474785]]]), attributes={})",,,,,
Remera,"['Mango', '', '(4G)']",160 mbps,['http://pbs.twimg.com/media/EUwpAVCWoAMLWF0.jpg'],"@kenessajr Location: Remera
Speed: 160 Mbps
ISP: Mango  (4G) https://t.co/MIWn7qITCk",2020-04-04 12:50:34,,remera,4G,mango,160.0, mbps
Nyamirambo,"['MTN', '4G']",1.1mbps,['http://pbs.twimg.com/media/EUwjjL4WAAIvtw2.jpg'],"@kenessajr Location:Nyamirambo
Speed:1.1Mbps
ISP:MTN 4G https://t.co/WyBW4NAX4n",2020-04-04 12:36:34,,nyamirambo,4G,mtn,1.1,mbps
Rwamagana,"['KT', 'Rwanda', 'Networks']",,['http://pbs.twimg.com/media/EUwh65NWoAIpm4S.jpg'],"@kenessajr Location: Rwamagana
ISP: KT Rwanda Networks https://t.co/KX5TibD0du",2020-04-04 12:12:29,,rwamagana,,kt,,
